Oblast type,Oblast,Damage,retrieved
Frontline,Donetska,26.2,"01/05/2023, 16:39:01"
Frontline,Zaporizka,6.0,"01/05/2023, 16:39:01"
Frontline,Luhanska,16.7,"01/05/2023, 16:39:01"
Frontline,Mykolaivska,3.7,"01/05/2023, 16:39:01"
Frontline,Odeska,0.3,"01/05/2023, 16:39:01"
Frontline,Kharkivska,14.4,"01/05/2023, 16:39:01"
Frontline,Khersonska,4.4,"01/05/2023, 16:39:01"
Support,"Support regions, subtotal",0.9,"01/05/2023, 16:39:01"
Support,Vinnytska,0.1,"01/05/2023, 16:39:01"
Support,Dnipropetrovska,0.5,"01/05/2023, 16:39:01"
Support,Kirovohradska,0.1,"01/05/2023, 16:39:01"
Support,Poltavska,0.1,"01/05/2023, 16:39:01"
Support,Cherkaska,0.1,"01/05/2023, 16:39:01"
Support,"Backline regions, subtotal",0.2,"01/05/2023, 16:39:01"
Support,Volynska,0.0,"01/05/2023, 16:39:01"
Support,Zakarpatska,0.05,"01/05/2023, 16:39:01"
Support,Ivano-Frankivska,0.02,"01/05/2023, 16:39:01"
Support,Lvivska,0.07,"01/05/2023, 16:39:01"
Support,Rivnenska,0.02,"01/05/2023, 16:39:01"
Support,Ternopilska,0.01,"01/05/2023, 16:39:01"
Support,Khmelnytska,0.02,"01/05/2023, 16:39:01"
Support,Chernivetska,0.0,"01/05/2023, 16:39:01"
Regained,"Regions where government has regained control, subtotal",22.4,"01/05/2023, 16:39:01"
Regained,Kyiv (city),1.1,"01/05/2023, 16:39:01"
Regained,Zhytomyrska,0.8,"01/05/2023, 16:39:01"
Regained,Kyivska,11.2,"01/05/2023, 16:39:01"
Regained,Sumska,2.9,"01/05/2023, 16:39:01"
Regained,Chernihivska,6.4,"01/05/2023, 16:39:01"
Unspecified,"Not specified, subtotal",2.2,"01/05/2023, 16:39:01"
